,CURRENT|6
6436,1.199707
6437,1.215088
6438,1.204834
6439,1.184326
6440,1.184326
6441,1.168945
6442,1.168945
6443,1.19458
6444,1.184326
6445,1.204834
6446,1.24585
6447,1.240723
6448,1.204834
6449,1.215088
6450,1.204834
6451,1.179199
6452,1.184326
6453,1.168945
6454,1.168945
6455,1.189453
6456,1.184326
6457,1.204834
6458,1.240723
6459,1.235596
6460,1.204834
6461,1.220215
6462,1.204834
6463,1.179199
6464,1.184326
6465,1.168945
6466,1.168945
6467,1.19458
6468,1.184326
6469,1.199707
6470,1.240723
6471,1.235596
6472,1.199707
6473,1.215088
6474,1.199707
6475,1.179199
6476,1.184326
6477,1.163818
6478,1.168945
6479,1.189453
6480,1.184326
6481,1.199707
6482,1.240723
6483,1.235596
6484,1.204834
6485,1.220215
6486,1.204834
6487,1.179199
6488,1.189453
6489,1.168945
6490,1.168945
6491,1.189453
6492,1.184326
6493,1.204834
6494,1.240723
6495,1.240723
6496,1.204834
6497,1.220215
6498,1.209961
6499,1.184326
6500,1.189453
6501,1.168945
6502,1.168945
6503,1.19458
6504,1.184326
6505,1.204834
6506,1.24585
6507,1.240723
6508,1.204834
6509,1.220215
6510,1.204834
6511,1.179199
6512,1.184326
6513,1.168945
6514,1.168945
6515,1.189453
6516,1.179199
6517,1.199707
6518,1.24585
6519,1.235596
6520,1.204834
6521,1.215088
6522,1.204834
6523,1.179199
6524,1.184326
6525,1.168945
6526,1.168945
6527,1.19458
6528,1.184326
6529,1.199707
6530,1.24585
6531,1.240723
6532,1.204834
6533,1.220215
6534,1.204834
6535,1.179199
6536,1.184326
6537,1.168945
6538,1.174072
6539,1.189453
6540,1.184326
6541,1.204834
6542,1.240723
6543,1.240723
6544,1.204834
6545,1.220215
6546,1.204834
6547,1.179199
6548,1.189453
6549,1.168945
6550,1.168945
6551,1.189453
6552,1.184326
6553,1.199707
6554,1.240723
6555,1.235596
6556,1.204834
6557,1.220215
6558,1.209961
6559,1.179199
6560,1.184326
6561,1.168945
6562,1.174072
6563,1.189453
6564,1.184326
6565,1.204834
6566,1.24585
6567,1.240723
6568,1.204834
6569,1.215088
6570,1.204834
6571,1.179199
6572,1.184326
6573,1.163818
6574,1.174072
6575,1.19458
6576,1.184326
6577,1.199707
6578,1.240723
6579,1.235596
6580,1.204834
6581,1.220215
6582,1.204834
6583,1.179199
6584,1.184326
6585,1.163818
6586,1.168945
6587,1.189453
6588,1.184326
6589,1.204834
6590,1.24585
6591,1.240723
6592,1.209961
6593,1.220215
6594,1.209961
6595,1.184326
6596,1.184326
6597,1.163818
6598,1.168945
6599,1.189453
6600,1.184326
6601,1.199707
6602,1.240723
6603,1.240723
6604,1.204834
6605,1.220215
6606,1.204834
6607,1.179199
6608,1.189453
6609,1.168945
6610,1.168945
6611,1.19458
6612,1.184326
6613,1.199707
6614,1.240723
6615,1.235596
6616,1.204834
6617,1.215088
6618,1.204834
6619,1.179199
6620,1.184326
6621,1.168945
6622,1.174072
6623,1.19458
6624,1.189453
6625,1.199707
6626,1.240723
6627,1.240723
6628,1.209961
6629,1.220215
6630,1.204834
6631,1.179199
6632,1.189453
6633,1.168945
6634,1.174072
6635,1.19458
6636,1.184326
6637,1.199707
6638,1.240723
6639,1.235596
6640,1.209961
6641,1.220215
6642,1.204834
6643,1.179199
6644,1.189453
6645,1.168945
6646,1.168945
6647,1.189453
6648,1.184326
6649,1.199707
6650,1.240723
6651,1.235596
6652,1.204834
6653,1.220215
6654,1.209961
6655,1.179199
6656,1.184326
6657,1.168945
6658,1.168945
6659,1.189453
6660,1.184326
6661,1.199707
6662,1.240723
6663,1.235596
6664,1.204834
6665,1.215088
6666,1.204834
6667,1.179199
6668,1.184326
6669,1.168945
6670,1.168945
6671,1.189453
6672,1.184326
6673,1.19458
6674,1.240723
6675,1.235596
6676,1.204834
6677,1.215088
6678,1.204834
6679,1.179199
6680,1.184326
6681,1.168945
6682,1.168945
6683,1.189453
6684,1.184326
6685,1.199707
6686,1.240723
6687,1.235596
6688,1.204834
6689,1.215088
6690,1.204834
6691,1.174072
6692,1.184326
6693,1.168945
6694,1.168945
6695,1.189453
