Dataset,Data_Split,Features,Normalization,Train_R2,Train_RMSE,Test_R2,Test_RMSE
DMC2_AL_CP1.csv,0.7,all,no,0.999826885281837,0.015182766947541,0.9438701013769836,0.5684797179523479
DMC2_AL_CP1.csv,0.7,subset,yes,0.9997894030571264,0.0001736632799718,0.9477702475711012,0.0056868905277723
DMC2_AL_CP1.csv,0.7,subset,no,0.9997831296160112,0.0169935476430566,0.9481120257866774,0.5465768123602065
DMC2_AL_CP1.csv,0.8,all,yes,0.999857641751226,0.0001947567438596,0.9569725028337333,0.0042297279561342
DMC2_AL_CP1.csv,0.8,all,no,0.9998433866237616,0.0196977932057707,0.957613626071253,0.404813033847223
DMC2_AL_CP1.csv,0.8,subset,yes,0.9998304271072048,0.0002125589524188,0.9516641288160932,0.0044830560490939
DMC2_AL_CP1.csv,0.8,subset,no,0.9998371954608531,0.0200833613488595,0.9555563780507496,0.4145205606868033
DMC2_AL_CP2.csv,0.6,all,yes,0.9995934497451407,0.0004963498350589,0.9603892385536004,0.0071243287729001
DMC2_AL_CP2.csv,0.6,all,no,0.9995832677903468,0.0486894078382682,0.9594460213081444,0.6984402949136371
DMC2_AL_CP2.csv,0.6,subset,yes,0.9996705823918224,0.0004467907444438,0.964780496398614,0.0067178294325939
DMC2_AL_CP2.csv,0.6,subset,no,0.9996512755829016,0.0445396845434807,0.9648237938204824,0.65048464877328
DMC2_AL_CP2.csv,0.7,all,yes,0.999702482039132,0.0004721856394184,0.9281569698539108,0.0091987247713646
DMC2_AL_CP2.csv,0.7,all,no,0.999728281636735,0.0437210789054315,0.926714560510409,0.9001592479352423
DMC2_AL_CP2.csv,0.7,subset,yes,0.9997738495803792,0.0004116753650761,0.9418637534914512,0.0082748246300498
DMC2_AL_CP2.csv,0.7,subset,no,0.9997730328190166,0.0399588432316674,0.9379713482223452,0.8281455454504132
DMC2_AL_CP2.csv,0.8,all,yes,0.9997398935155568,0.0004132158826475,0.9254325814198632,0.0114319775283878
DMC2_AL_CP2.csv,0.8,all,no,0.9997154641083312,0.0418740666393511,0.9212269793798602,1.138441588348801
DMC2_AL_CP2.csv,0.8,subset,yes,0.9997675481074294,0.0003906321281065,0.9424437603347828,0.0100436833914123
DMC2_AL_CP2.csv,0.8,subset,no,0.9997554151124062,0.0388232082262323,0.9397259326629354,0.995834693542398
DMC2_S_CP1.csv,0.6,all,yes,0.9999954184237072,5.149263945975808e-05,0.600017702470339,0.0183842178562807
DMC2_S_CP1.csv,0.6,all,no,0.999995474583398,0.0060430748886162,0.600195653657428,2.1703987417620145
DMC2_S_CP1.csv,0.6,subset,yes,0.9999919386029688,6.83034826475919e-05,0.601926486577021,0.0183402990767047
DMC2_S_CP1.csv,0.6,subset,no,0.9999919763802804,0.0080466268474782,0.6018150671667591,2.165998665247094
DMC2_S_CP1.csv,0.7,all,yes,0.9999951393296496,5.076326933066072e-05,0.5870651837835543,0.0211957668852435
DMC2_S_CP1.csv,0.7,all,no,0.9999955707217512,0.0057221466379912,0.5876078407876558,2.5012355018920536
DMC2_S_CP1.csv,0.7,subset,yes,0.9999916734557488,6.644065380641452e-05,0.5891069469409895,0.0211433005364144
DMC2_S_CP1.csv,0.7,subset,no,0.9999917213787292,0.0078229671879222,0.5910443410197597,2.490792192110468
DMC2_S_CP1.csv,0.8,all,yes,0.9999577160973084,0.0001442730632263,0.7375483801636782,0.0200396354761056
DMC2_S_CP1.csv,0.8,all,no,0.9999588355849524,0.0168093026107097,0.7413265707688086,2.349265494027048
DMC2_S_CP1.csv,0.8,subset,yes,0.999950883128188,0.0001554937975411,0.7508108465191904,0.0195267405552986
DMC2_S_CP1.csv,0.8,subset,no,0.9999529011346444,0.017980176221046,0.7525227079312716,2.2978615976445846
DMC2_S_CP2.csv,0.6,all,yes,0.9996687277710227,0.0005019080296928497,0.9411128432847099,0.010012212059594341
DMC2_S_CP2.csv,0.6,all,no,0.9996787870214972,0.03960721257532005,0.9428514120423996,0.7904394494817761
DMC2_S_CP2.csv,0.6,subset,yes,0.9996617573441593,0.0005071609616081001,0.9561588355874858,0.008638946547671614
DMC2_S_CP2.csv,0.6,subset,no,0.999673295768993,0.039944327744770775,0.9521008816868082,0.7236517465006218
DMC2_S_CP2.csv,0.7,all,yes,0.999779850432268,0.00044664243356418225,0.928384863065837,0.011115787269063848
DMC2_S_CP2.csv,0.7,all,no,0.9997514788899502,0.038030217853011715,0.9211059035009842,0.9349882974456261
DMC2_S_CP2.csv,0.7,subset,yes,0.9997667065073406,0.00045978243411114633,0.9417678480912993,0.010023496269842787
DMC2_S_CP2.csv,0.7,subset,no,0.9997951921526466,0.03452394907360056,0.942569209794768,0.7977307216685156
DMC2_S_CP2.csv,0.8,all,yes,0.999726591836137,0.000522054987980591,0.9742251122951122,0.006496442021211208
DMC2_S_CP2.csv,0.8,all,no,0.9997114858721333,0.04297740221809534,0.9679070329398889,0.5809359053880947
DMC2_S_CP2.csv,0.8,subset,yes,0.9997656230182486,0.0004833569739632389,0.9645331731040737,0.007620585561545535
DMC2_S_CP2.csv,0.8,subset,no,0.9997551778362858,0.03958967938193995,0.9719680089847281,0.5429380225238459
