,CURRENT|6
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1117,18.19043
1118,18.451904
1119,18.682617
1120,18.903076
1121,19.062012
1122,19.179932
1123,19.302979
1124,19.405518
1125,19.497803
1126,19.559326
1127,19.625977
1128,19.672119
1129,19.708008
1130,19.764404
1131,19.779785
1132,19.831055
1133,19.887451
1134,19.959229
1135,20.036133
1136,20.092529
1137,20.189941
1138,20.266846
1139,20.328369
1140,20.400146
1141,20.466797
1142,20.52832
1143,20.564209
1144,20.620605
1145,20.656494
1146,20.69751
1147,20.748779
1148,20.810303
1149,20.846191
1150,20.902588
1151,20.928223
1152,20.943604
1153,20.984619
1154,20.964111
1155,20.989746
1156,20.994873
1157,21.010254
1158,21.046143
1159,21.056396
1160,21.123047
1161,21.215332
1162,21.328125
1163,21.502441
1164,21.681885
1198,3.04541
1199,2.768555
1200,2.517334
1201,2.32251
1202,2.132812
1203,1.989258
1204,1.845703
1205,1.748291
1206,1.620117
1207,1.553467
1208,1.450928
1209,1.404785
1210,1.322754
1211,1.256104
1212,1.204834
1213,1.153564
1214,1.102295
1215,1.051025
1216,1.025391
1217,0.984375
1218,0.974121
1219,0.938232
1220,0.943359
1221,0.907471
1222,0.917725
1223,0.897217
1224,0.912598
1225,0.89209
1226,0.876709
1227,0.876709
1228,0.866455
1229,0.856201
1230,0.835693
1398,0.804932
1399,0.789551
1414,0.789551
1415,0.810059
1416,0.789551
1427,0.794678
1428,0.799805
1435,0.825439
1436,0.825439
1438,0.825439
1444,0.789551
1445,0.810059
1447,0.815186
1448,0.804932
1456,0.804932
1457,0.789551
1465,0.825439
1467,0.825439
1468,0.825439
1469,0.820312
1475,0.804932
1476,0.789551
1477,0.815186
1478,0.804932
1479,0.835693
1488,0.799805
1491,0.784424
1494,0.835693
1495,0.825439
1498,0.825439
1503,0.799805
1565,0.804932
1571,0.820312
1577,0.784424
1594,0.784424
1595,0.804932
1604,0.815186
1624,0.784424
1625,0.799805
1655,0.799805
1657,0.810059
1687,0.810059
1717,0.810059
1723,0.820312
1737,0.820312
1738,0.820312
1739,0.815186
1740,0.794678
1741,0.799805
1742,0.789551
1744,0.789551
1745,0.810059
1746,0.794678
1747,0.825439
1748,0.820312
1749,0.856201
1750,0.851074
1751,0.851074
1752,0.856201
1753,0.861328
1755,0.851074
1756,0.856201
1757,0.851074
1758,0.871582
1759,0.871582
1761,0.897217
1762,0.943359
1763,0.943359
1764,0.979248
1765,0.979248
1766,0.984375
1767,0.994629
1769,1.01001
1770,0.999756
1772,1.004883
1773,1.035645
1774,1.040771
1777,1.143311
1778,1.133057
1779,1.168945
1781,1.184326
1782,1.19458
1784,1.199707
1785,1.184326
1787,1.204834
1788,1.235596
1789,1.225342
1792,1.307373
1793,1.291992
1794,1.333008
1796,1.343262
1797,1.348389
1800,1.322754
1802,1.338135
1804,1.358643
1807,1.43042
1808,1.415039
1809,1.456055
1811,1.456055
1812,1.456055
1813,1.456055
1815,1.415039
1817,1.435547
1819,1.450928
1822,1.517578
1823,1.49707
1824,1.538086
1826,1.538086
1830,1.491943
1832,1.512451
1834,1.527832
1837,1.584229
1838,1.568848
1841,1.604736
1843,1.599609
1845,1.558594
1847,1.573975
1849,1.589355
1852,1.645752
1853,1.640625
1856,1.66626
1859,1.645752
1860,1.61499
1862,1.630371
1864,1.640625
1868,1.691895
1874,1.697021
1875,1.66626
1876,1.671387
1877,1.676514
1889,1.738037
1890,1.712402
1891,1.722656
1893,1.727783
1904,1.779053
1905,1.753418
1906,1.758545
1908,1.763672
1919,1.820068
1921,1.799561
1923,1.799561
1934,1.85083
1936,1.835449
1938,1.835449
1949,1.886719
1951,1.871338
1953,1.871338
1964,1.91748
1966,1.9021
1968,1.896973
1979,1.953369
1981,1.932861
1983,1.927734
1992,2.009766
1994,1.984131
1996,1.958496
1999,1.963623
2001,1.963623
2014,1.994385
2016,1.994385
2021,2.066162
2023,2.050781
2062,2.107178
2073,2.071289
2078,2.137939
2080,2.15332
2081,2.15332
2082,2.148193
2083,2.137939
2088,2.08667
2089,2.091797
2094,2.189209
2096,2.168701
2097,2.163574
2098,2.15332
2103,2.107178
2104,2.112305
2109,2.20459
2111,2.184082
2112,2.178955
2113,2.168701
2118,2.122559
2119,2.127686
2124,2.219971
2126,2.20459
2127,2.194336
2128,2.189209
2129,2.178955
2133,2.143066
2134,2.148193
2139,2.240479
2141,2.219971
2142,2.214844
2143,2.20459
2144,2.194336
2149,2.158447
2156,2.230225
2157,2.219971
