Train_y,Train_pred_y
-1.184325999999997,-1.332655
-1.1740720000000042,-1.337685
-1.1945800000000006,-1.3319099
-1.2048340000000042,-1.3524575
-1.215087999999997,-1.4042077
-1.2253420000000008,-1.3707182
-1.1945800000000006,-1.3693206
-1.199706999999997,-1.3595551
-1.1894530000000043,-1.3191818
-1.1638180000000005,-1.3524865
-1.1791990000000006,-1.3059684
-1.1638180000000005,-1.306696
-1.1586910000000041,-1.3032773
-1.1740720000000042,-1.318766
-1.1638180000000005,-1.3463764
-1.1894530000000043,-1.3507366
-1.2048340000000042,-1.3399835
-1.2202150000000043,-1.4109241
-1.2304689999999971,-1.3797158
-1.1894530000000043,-1.3524806
-1.2048340000000042,-1.3388284
-1.1945800000000006,-1.3290051
-1.1638180000000005,-1.3713015
-1.184325999999997,-1.3055412
-1.1638180000000005,-1.315376
-1.168944999999997,-1.3337406
-1.1740720000000042,-1.3252918
-1.1740720000000042,-1.3383895
-1.1945800000000006,-1.3334981
-1.2048340000000042,-1.3388573
-1.2202150000000043,-1.3911735
-1.2304689999999971,-1.3759909
-1.1945800000000006,-1.3716191
-1.2099610000000007,-1.3558706
-1.1945800000000006,-1.3349938
-1.168944999999997,-1.359942
-1.184325999999997,-1.3045017
-1.1586910000000041,-1.3136204
-1.168944999999997,-1.3125982
-1.1740720000000042,-1.2934712
-1.168944999999997,-1.3408613
-1.1945800000000006,-1.3383954
-1.2304689999999971,-1.3648912
-1.1945800000000006,-1.3853523
-1.2099610000000007,-1.3896142
-1.199706999999997,-1.3622867
-1.184325999999997,-1.363049
-1.1586910000000041,-1.3331343
-1.1586910000000041,-1.3110158
-1.1638180000000005,-1.3054545
-1.1638180000000005,-1.3544096
-1.1894530000000043,-1.3294729
-1.199706999999997,-1.3343701
-1.2202150000000043,-1.3618132
-1.2253420000000008,-1.3911504
-1.184325999999997,-1.3881819
-1.199706999999997,-1.3508174
-1.1945800000000006,-1.341843
-1.1740720000000042,-1.3672647
-1.1586910000000041,-1.3098204
-1.1638180000000005,-1.2843755
-1.168944999999997,-1.3124827
-1.1586910000000041,-1.338251
-1.1945800000000006,-1.3118821
-1.199706999999997,-1.3467057
-1.2202150000000043,-1.385976
-1.215087999999997,-1.3845611
-1.184325999999997,-1.3935181
-1.2048340000000042,-1.3424783
-1.1945800000000006,-1.3369342
-1.1740720000000042,-1.3643657
-1.184325999999997,-1.3130025
-1.148437999999996,-1.3207064
-1.1638180000000005,-1.3251647
-1.168944999999997,-1.3087521
-1.1638180000000005,-1.3391056
-1.1945800000000006,-1.3117551
-1.199706999999997,-1.3393598
-1.2253420000000008,-1.359584
-1.2253420000000008,-1.3473063
-1.184325999999997,-1.3779544
-1.2099610000000007,-1.3401221
-1.199706999999997,-1.345464
-1.1791990000000006,-1.3586369
-1.1894530000000043,-1.3148389
-1.1638180000000005,-1.3272611
-1.168944999999997,-1.3050503
-1.1638180000000005,-1.3187025
-1.1945800000000006,-1.3142672
-1.1945800000000006,-1.3519493
-1.2253420000000008,-1.3718213
-1.215087999999997,-1.3693726
-1.2048340000000042,-1.4014993
-1.1945800000000006,-1.3525962
-1.1791990000000006,-1.3223233
-1.1791990000000006,-1.2716416
-1.1586910000000041,-1.3378813
-1.168944999999997,-1.3353692
-1.1740720000000042,-1.334012
-1.1638180000000005,-1.3380373
-1.1894530000000043,-1.3321236
-1.199706999999997,-1.3486807
-1.2304689999999971,-1.3681772
-1.2202150000000043,-1.376655
-1.1894530000000043,-1.39927
-1.2099610000000007,-1.3446497
-1.199706999999997,-1.3584867
-1.1894530000000043,-1.3591566
-1.1586910000000041,-1.3176918
-1.1740720000000042,-1.3139265
-1.1740720000000042,-1.3218902
-1.168944999999997,-1.3290975
-1.184325999999997,-1.3084112
-1.1945800000000006,-1.3476007
-1.2253420000000008,-1.3702909
-1.215087999999997,-1.3991892
-1.1791990000000006,-1.3946154
-1.2099610000000007,-1.3301486
-1.199706999999997,-1.3581344
-1.184325999999997,-1.3264872
-1.1791990000000006,-1.2810376
-1.1586910000000041,-1.323848
-1.1740720000000042,-1.3052754
-1.168944999999997,-1.2996217
-1.1791990000000006,-1.3127367
-1.1894530000000043,-1.3667219
-1.2253420000000008,-1.3593588
-1.2202150000000043,-1.3731495
-1.2048340000000042,-1.3746107
-1.1945800000000006,-1.3306568
-1.168944999999997,-1.3400527
-1.153563999999997,-1.3455852
-1.1791990000000006,-1.3024976
-1.1791990000000006,-1.3099416
-1.1791990000000006,-1.3299464
-1.1894530000000043,-1.3487616
-1.2202150000000043,-1.3649663
-1.2048340000000042,-1.3848786
-1.199706999999997,-1.3586831
-1.1894530000000043,-1.3233398
-1.1740720000000042,-1.3027229
-1.153563999999997,-1.3520533
-1.1740720000000042,-1.2965205
