,CURRENT|6
1973,0.005371
1976,0.005371
1979,0.005371
1981,0.005371
1984,0.005371
1994,0.005371
1997,0.005371
1998,0.005371
2000,0.005371
2001,0.005371
2010,0.005371
2016,0.005371
2017,0.005371
2019,0.005371
2020,0.005371
2023,0.005371
2026,0.005371
2035,0.005371
2036,0.005371
2038,0.005371
2039,0.005371
2041,0.005371
2054,0.005371
2057,0.005371
2058,0.005371
2060,0.005371
2061,0.005371
2063,0.005371
2064,0.005371
2076,0.005371
2079,0.005371
2080,0.005371
2082,0.005371
2083,0.005371
2095,0.005371
2099,0.005371
2102,0.005371
2104,0.005371
2105,0.005371
2107,0.005371
2110,0.005371
2118,0.005371
2120,0.005371
2123,0.005371
2124,0.005371
2126,0.005371
2129,0.005371
2140,0.005371
2143,0.005371
2148,0.005371
2154,0.005371
2159,0.005371
2162,0.005371
2167,0.005371
2172,0.005371
2173,0.005371
2175,0.005371
2182,0.005371
2185,0.005371
2186,0.005371
2188,0.005371
2192,0.005371
2195,0.005371
2196,0.005371
2198,0.005371
2199,0.005371
2209,0.005371
2212,0.005371
2214,0.005371
2217,0.005371
2222,0.005371
2225,0.005371
2228,0.002686
2230,0.002686
2233,0.002686
2238,0.002686
2241,0.002686
2246,0.002686
2249,0.002686
2257,0.002686
2259,0.002686
2262,0.002686
2265,0.002686
2270,0.002686
2275,0.002686
2278,0.002686
2283,0.002686
2286,0.002686
2288,0.002686
2289,0.002686
2291,0.002686
2301,0.002686
2305,0.002686
2308,0.002686
2309,0.002686
2310,0.002686
2314,0.002686
2315,0.002686
2316,0.002686
2320,0.002686
2321,0.002686
2323,0.0
2328,0.002686
2330,0.008057
2331,0.013428
2335,0.013428
2336,0.013428
2337,0.010742
2338,0.010742
2340,0.010742
2341,0.010742
2345,0.010742
2346,0.010742
2347,0.010742
2350,0.010742
2351,0.010742
2355,0.010742
2356,0.008057
2360,0.008057
2361,0.008057
2362,0.008057
2363,0.008057
2365,0.008057
2367,0.008057
2368,0.008057
2371,0.008057
2372,0.008057
2374,0.008057
2378,0.005371
2380,0.005371
2381,0.002686
2382,0.002686
2385,0.002686
2387,0.0
2392,0.002686
2394,0.002686
2395,0.005371
2397,0.008057
2400,0.010742
2402,0.013428
2404,0.013428
2405,0.013428
2407,0.013428
2410,0.016113
2413,0.016113
2414,0.016113
2420,0.016113
2423,0.016113
2428,0.018799
2430,0.018799
2431,0.018799
2433,0.018799
2434,0.018799
2441,0.018799
2446,0.018799
2454,0.021484
2459,0.021484
2462,0.021484
2467,0.021484
2469,0.021484
2471,0.021484
2472,0.021484
2475,0.021484
2482,0.02417
2488,0.02417
2490,0.02417
2493,0.02417
2498,0.02417
2503,0.02417
2510,0.02417
2512,0.02417
2513,0.02417
2516,0.026855
2519,0.026855
2524,0.026855
2530,0.026855
2533,0.026855
2535,0.026855
2537,0.026855
2540,0.026855
2541,0.026855
2542,0.026855
2543,0.026855
2545,0.026855
2549,0.026855
2554,0.029541
2557,0.029541
2560,0.029541
2565,0.029541
2570,0.029541
2573,0.029541
2585,0.029541
2586,0.029541
2588,0.029541
2589,0.029541
2591,0.029541
2592,0.029541
2596,0.029541
2598,0.029541
2599,0.029541
2601,0.032227
2606,0.032227
2609,0.032227
2611,0.032227
2612,0.032227
2619,0.032227
2624,0.032227
2629,0.032227
2632,0.032227
